NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,ds,xh
7,0.47741018,0.392491101,0.349208911,0.338573411,0.334484985,24.5980158,19,4.561312047,32,13,28,64.15047395,27,9.4006349,79,52,61,52.71422642,45.6584614,10.58295937,72.64,26.9815386,58.6934,1611.214936,877.53,147.2069852,1811,933.47,1728,10.45966851,7,2.346225542,14,7,10,3.785463738,1,0.337020908,4,3,4,124.9041614,28,7.593919956,139,111,124,1.827752197,0.46,0.131746213,2.01,1.55,1.91,2,0,4.44E-16,2,2,2,0.659669113,2,0.879558965,2,0,0,5.654636782,10,2.729580799,10,0,8,0,0,0,0,0,0,8.314305895,11,2.5181267,14,3,10,0,0,0,0,0,0,1.34033022,5,1.787107258,5,0,0,2.2000006,5,1.600000267,5,0,2,0,0,0,0,0,0,3.54033082,3,1.0611215,5,2,2,14.03547702,12.76,4.823690108,23.005,10.245,10.32,0.205926829,0.773,0.277451028,0.773,0,0,0.395284782,2.1106628,0.446537971,2.1106628,0,0.5953947,222.8594847,35,4.543539982,229,194,225,0.240549244,0.079341453,0.680109302,0,0,0.051525145,0.01257135,45.55436,180
6,0.508202205,0.419461167,0.369393373,0.353707055,0.344058494,28.24351767,7,2.526969628,32,25,32,63.730553,27,10.18769822,79,52,79,62.27418575,17.701955,6.948619257,72.64,54.938045,72.64,1495.194733,599.6,193.310802,1811,1211.4,1211.4,10.24351767,7,2.526969628,14,7,14,4,0,0,4,4,4,127.778629,19,7.039956,139,120,120,1.828213727,0.46,0.167950022,2.01,1.55,2.01,1.985030667,1,0.029490505,2,1,2,0.666666667,2,0.888888889,2,0,2,7.591820333,5,1.813974785,10,5,10,0,0,0,0,0,0,10.24351767,7,2.526969628,14,7,14,0.014969333,1,0.029490505,1,0,0,1.333333333,4,1.777777778,4,0,4,2.408179667,5,1.813974785,5,0,0,0,0,0,0,0,0,3.756482333,4,0.921072295,5,1,4,14.60445373,12.76,5.600364178,23.005,10.245,23.005,0.127666667,0.383,0.170222222,0.383,0,0.383,0.391863848,2.1106628,0.509344729,2.1106628,0,0,217.4985793,35,8.112877761,229,194,225,0.193784082,0.06508181,0.741134108,0,0,0.051525145,0.01763586,44.312292,181
5,0.515762623,0.426259215,0.375404315,0.35907351,0.34856558,22.481301,15,5.691598667,28,13,28,64.07317167,26,9.097562222,78,52,61,47.36949786,31.7118614,12.89728452,58.6934,26.9815386,58.6934,1679.243076,877.53,81.30478011,1811,933.47,1728,10.481301,7,2.308401333,14,7,10,3.666666667,1,0.444444444,4,3,4,123.68699,28,8.084013333,139,111,124,1.827910623,0.36,0.100786296,1.91,1.55,1.91,2,0,0,2,2,2,0.647967667,2,0.863956889,2,0,0,4.5,8,3,8,0,8,0,0,0,0,0,0,7.147967667,7,2.185365667,10,3,10,0,0,0,0,0,0,1.352032333,5,1.802709778,5,0,0,2.166666667,5,1.555555556,5,0,2,0,0,0,0,0,0,3.518699,3,1.012466,5,2,2,13.71554966,10.12,4.334870813,20.44,10.32,10.32,0.24321234,0.773,0.333378775,0.773,0,0,0.55029372,2.1106628,0.550190347,2.1106628,0,0.5953947,224.962602,12,2.654200667,229,217,225,0.279799811,0.090650615,0.629549574,0,0,0.031880743,0.008697814,49.047862,182
7,0.501503985,0.409255055,0.351654089,0.330139337,0.314946949,23.15889759,19,5.1711734,32,13,25,63.34786798,27,9.421565099,79,52,52,49.29384082,45.6584614,11.97406544,72.64,26.9815386,54.938045,1592.692265,1508.09,173.2950348,1811,302.91,1519,10.24011119,7,2.419061013,14,7,7,3.717710355,1,0.405204402,4,3,4,125.2689418,28,9.1232235,139,111,139,1.792489183,0.46,0.137250963,2.01,1.55,1.55,2,0,0,2,2,2,0.619838694,2,0.824294551,2,0,0,4.79737605,10,2.70849916,10,0,5,0,0,0,0,0,0,7.417214744,11,2.165606973,14,3,7,0,0,0,0,0,0,1.390601316,5,1.849295791,5,0,0,2.379727504,5,1.808511113,5,0,5,0,0,0,0,0,0,3.77032882,3,0.996499626,5,2,5,13.72634956,12.685,4.352652939,23.005,10.32,10.48758621,0.219109439,0.773,0.313429322,0.773,0,0,0.379930925,2.1106628,0.469406802,2.1106628,0,3.10E-04,215.6238339,165,15.21794451,229,64,217,0.269642995,0.083567581,0.646789424,0,0,0.051525145,0.011859614,38.150869,183
6,0.456546514,0.354619028,0.292117781,0.269818592,0.254787287,24.35975468,18,4.439296363,32,14,26,63.43485118,27,9.948163928,79,52,55,52.31715052,44.5545,10.38359318,72.64,28.0855,55.845,1631.948943,1508.09,149.1401734,1811,302.91,1811,10.21637759,7,2.522439483,14,7,8,3.785743172,1,0.33670168,4,3,4,125.8539535,28,8.560415451,139,111,132,1.823258978,0.46,0.117979891,2.01,1.55,1.83,2,0,0,2,2,2,0.666622812,2,0.888788461,2,0,0,5.407186497,10,2.492852297,10,0,6,0,0,0,0,0,0,8.073809309,10,2.243933652,14,4,8,0,0,0,0,0,0,1.333565998,5,1.778004067,5,0,0,2.450245219,5,1.828231694,5,0,4,0,0,0,0,0,0,3.783811217,3,0.770902544,5,2,4,14.13111726,12.685,4.816456952,23.005,10.32,10.73,0.211197981,0.773,0.281629124,0.773,0,0,0.62405573,2.1106628,0.697759201,2.1106628,0,2.1106628,224.623084,165,3.325503014,229,64,229,0.247714545,0.082566083,0.669719372,0,0,0.051525145,0.011399846,36.941508,184
8,0.491942391,0.402597798,0.353406529,0.339191362,0.332456168,26.60305766,19,3.463089499,32,13,28,64.24365816,27,9.754099399,79,52,61,57.6846007,45.6584614,7.70892257,72.64,26.9815386,58.6934,1558.175136,1508.09,182.8023451,1811,302.91,1728,10.44039575,7,2.402298543,14,7,10,3.897925662,1,0.183310336,4,3,4,126.104045,28,7.340011272,139,111,124,1.837395411,0.46,0.141951188,2.01,1.55,1.91,2,0,0,2,2,2,0.67475437,2,0.894024907,2,0,0,6.744897997,10,2.36083551,10,0,8,0,0,0,0,0,0,9.419652366,11,2.539581517,14,3,10,0,0,0,0,0,0,1.35035515,5,1.789171277,5,0,0,2.234358619,5,1.662841336,5,0,2,0,0,0,0,0,0,3.584713769,3,1.045779128,5,2,2,14.41537601,12.76,5.272432395,23.005,10.245,10.32,0.168861948,0.773,0.223831201,0.773,0,0,0.38235125,2.1106628,0.444906894,2.1106628,0,0.5953947,223.5818917,165,3.250217006,229,64,225,0.212322061,0.071632619,0.71604532,0,0,0.051525145,0.014406888,37.237162,185
6,0.557946226,0.464350334,0.401896665,0.378203936,0.361806367,28.08519516,18,2.662235724,32,14,32,63.44805139,27,10.47046365,79,52,79,62.34075448,44.5545,6.924619593,72.64,28.0855,72.64,1494.617535,1465.09,197.4231715,1768,302.91,1211.4,10.14579236,7,2.643911387,14,7,14,3.996633489,1,0.006710355,4,3,4,128.0444916,28,6.818945011,139,111,120,1.825144744,0.46,0.164704716,2.01,1.55,2.01,1.967013798,1,0.063796224,2,1,2,0.671319568,2,0.891914052,2,0,2,7.473793884,10,1.845749912,10,0,10,0,0,0,0,0,0,10.11212725,10,2.642558034,14,4,14,0.032986202,1,0.063796224,1,0,0,1.342885467,5,1.784155377,5,0,4,2.492541005,5,1.837935134,5,0,0,0,0,0,0,0,0,3.868412673,4,0.765882753,5,1,4,14.61938698,12.76,5.612163349,23.005,10.245,23.005,0.129854913,0.773,0.172546344,0.773,0,0.383,0.514203678,1.5484712,0.686778242,1.5484712,0,0,212.306736,163,12.18046321,227,64,225,0.194520277,0.066387571,0.739092151,0,0,0.051525145,0.017248777,39.147891,186
6,0.452208551,0.35237738,0.294701724,0.277193445,0.26798751,25.57145967,18,4.013452813,32,14,28,64.314106,27,9.466078,79,52,61,55.34342258,44.5545,9.02892151,72.64,28.0855,58.6934,1589.66132,556.6,165.0152657,1768,1211.4,1728,10.49212167,7,2.346588364,14,7,10,3.837741,1,0.271862034,4,3,4,125.0015937,28,6.779308596,139,111,124,1.838911907,0.46,0.130591264,2.01,1.55,1.91,1.992121333,1,0.015633187,2,1,2,0.666666667,2,0.888888889,2,0,0,6.210743667,10,2.562767165,10,0,8,0,0,0,0,0,0,8.869531667,10,2.425298932,14,4,10,0.007878667,1,0.015633187,1,0,0,1.333333333,4,1.777777778,4,0,0,2.166666333,5,1.565821042,5,0,2,0,0,0,0,0,0,3.507878333,4,1.00253602,5,1,2,14.1630928,12.76,5.06221613,23.005,10.245,10.32,0.190947677,0.773,0.254596902,0.773,0,0,0.420793522,1.5484712,0.477222581,1.5484712,0,0.5953947,218.213171,33,8.832870406,227,194,225,0.224602765,0.075163683,0.700233552,0,0,0.051525145,0.012826342,44.468085,187
6,0.475899249,0.387339244,0.345196654,0.336629408,0.333937484,25.30026133,19,4.085901959,32,13,28,64.13554,27,9.507584,79,52,61,54.41421583,45.6584614,9.197372849,72.64,26.9815386,58.6934,1597.850147,877.53,164.7476084,1811,933.47,1728,10.44020533,7,2.362561778,14,7,10,3.825558667,1,0.288023109,4,3,4,125.3645427,28,7.519654222,139,111,124,1.834015773,0.46,0.128900155,2.01,1.55,1.91,2,0,0,2,2,2,0.661349333,2,0.881799111,2,0,0,6.034442667,10,2.570562227,10,0,8,0,0,0,0,0,0,8.695792,11,2.555064435,14,3,10,0,0,0,0,0,0,1.338650667,5,1.784867556,5,0,0,2.221144,5,1.628192,5,0,2,0,0,0,0,0,0,3.559794667,3,1.039863111,5,2,2,14.16289298,12.685,4.957740691,23.005,10.32,10.32,0.191588488,0.773,0.257488797,0.773,0,0,0.435327334,2.1106628,0.482621116,2.1106628,0,0.5953947,224.0178533,12,3.103912315,229,217,225,0.229996302,0.07605395,0.693949748,0,0,0.051525145,0.012622593,38.441558,188
7,0.471745194,0.381942088,0.341299166,0.334539466,0.33305125,25.21134802,18,3.583967901,32,14,25,62.77092032,27,10.50267045,79,52,52,54.73692547,44.5545,8.185255331,72.64,28.0855,54.938045,1573.853113,1508.09,167.4115047,1811,302.91,1519,9.975451504,7,2.688567645,14,7,7,3.846438695,1,0.259960461,4,3,4,127.7129443,28,9.051025225,139,111,139,1.792181341,0.46,0.161237383,2.01,1.55,1.55,1.999903852,1,1.92E-04,2,1,2,0.665919515,2,0.888144793,2,0,0,5.774015091,10,2.288647604,10,0,5,0,0,0,0,0,0,8.439838458,10,2.479725949,14,4,7,9.61E-05,1,1.92E-04,1,0,0,1.332944735,5,1.777764277,5,0,0,2.690371863,5,2.006786756,5,0,5,0,0,0,0,0,0,4.023412746,4,0.650903631,5,1,5,14.27980798,12.685,5.022664704,23.005,10.32,10.48758621,0.187341915,0.773,0.249998241,0.773,0,0,0.470271109,2.1106628,0.626313,2.1106628,0,3.10E-04,223.3010886,165,4.312510451,229,64,217,0.236959968,0.078901927,0.684138105,0,0,0.051525145,0.01581861,42.209368,189
