NComp,Comp_L2Norm,Comp_L3Norm,Comp_L5Norm,Comp_L7Norm,Comp_L10Norm,mean_Number,maxdiff_Number,dev_Number,max_Number,min_Number,most_Number,mean_MendeleevNumber,maxdiff_MendeleevNumber,dev_MendeleevNumber,max_MendeleevNumber,min_MendeleevNumber,most_MendeleevNumber,mean_AtomicWeight,maxdiff_AtomicWeight,dev_AtomicWeight,max_AtomicWeight,min_AtomicWeight,most_AtomicWeight,mean_MeltingT,maxdiff_MeltingT,dev_MeltingT,max_MeltingT,min_MeltingT,most_MeltingT,mean_Column,maxdiff_Column,dev_Column,max_Column,min_Column,most_Column,mean_Row,maxdiff_Row,dev_Row,max_Row,min_Row,most_Row,mean_CovalentRadius,maxdiff_CovalentRadius,dev_CovalentRadius,max_CovalentRadius,min_CovalentRadius,most_CovalentRadius,mean_Electronegativity,maxdiff_Electronegativity,dev_Electronegativity,max_Electronegativity,min_Electronegativity,most_Electronegativity,mean_NsValence,maxdiff_NsValence,dev_NsValence,max_NsValence,min_NsValence,most_NsValence,mean_NpValence,maxdiff_NpValence,dev_NpValence,max_NpValence,min_NpValence,most_NpValence,mean_NdValence,maxdiff_NdValence,dev_NdValence,max_NdValence,min_NdValence,most_NdValence,mean_NfValence,maxdiff_NfValence,dev_NfValence,max_NfValence,min_NfValence,most_NfValence,mean_NValance,maxdiff_NValance,dev_NValance,max_NValance,min_NValance,most_NValance,mean_NsUnfilled,maxdiff_NsUnfilled,dev_NsUnfilled,max_NsUnfilled,min_NsUnfilled,most_NsUnfilled,mean_NpUnfilled,maxdiff_NpUnfilled,dev_NpUnfilled,max_NpUnfilled,min_NpUnfilled,most_NpUnfilled,mean_NdUnfilled,maxdiff_NdUnfilled,dev_NdUnfilled,max_NdUnfilled,min_NdUnfilled,most_NdUnfilled,mean_NfUnfilled,maxdiff_NfUnfilled,dev_NfUnfilled,max_NfUnfilled,min_NfUnfilled,most_NfUnfilled,mean_NUnfilled,maxdiff_NUnfilled,dev_NUnfilled,max_NUnfilled,min_NUnfilled,most_NUnfilled,mean_GSvolume_pa,maxdiff_GSvolume_pa,dev_GSvolume_pa,max_GSvolume_pa,min_GSvolume_pa,most_GSvolume_pa,mean_GSbandgap,maxdiff_GSbandgap,dev_GSbandgap,max_GSbandgap,min_GSbandgap,most_GSbandgap,mean_GSmagmom,maxdiff_GSmagmom,dev_GSmagmom,max_GSmagmom,min_GSmagmom,most_GSmagmom,mean_SpaceGroupNumber,maxdiff_SpaceGroupNumber,dev_SpaceGroupNumber,max_SpaceGroupNumber,min_SpaceGroupNumber,most_SpaceGroupNumber,frac_sValence,frac_pValence,frac_dValence,frac_fValence,CanFormIonic,MaxIonicChar,MeanIonicChar,tt,xh
5,0.504633571,0.412102782,0.354162519,0.332504249,0.317214832,23.17950118,17,5.256540392,31,14,14,63.61645325,26,9.197572781,78,52,78,49.40084615,41.6375,12.20599855,69.723,28.0855,28.0855,1595.17119,1465.09,162.743993,1768,302.91,1687,10.33325219,7,2.346529203,14,7,14,3.713680499,1,0.408681289,4,3,3,124.6359388,28,8.412350287,139,111,111,1.797515573,0.36,0.140200608,1.91,1.55,1.9,2,0,0,2,2,2,0.618913794,2,0.826133196,2,0,2,4.85114339,10,2.777953909,10,0,0,0,0,0,0,0,0,7.470057184,9,2.25334526,13,4,4,0,0,0,0,0,0,1.376651963,5,1.837570754,5,0,4,2.2856616,5,1.682073035,5,0,0,0,0,0,0,0,0,3.662313563,3,1.07488243,5,2,4,13.65249721,10.195,4.368509664,20.44,10.245,20.44,0.221324974,0.773,0.315910636,0.773,0,0.773,0.325286703,1.5484712,0.400453962,1.5484712,0,0,212.7193789,163,17.55283096,227,64,227,0.267735568,0.082852618,0.649411814,0,0,0.031880743,0.012133801,410.147674,200
7,0.50309975,0.410939035,0.35322312,0.33162855,0.316376679,23.20371708,18,5.250596806,32,14,14,63.63750594,27,9.213914191,79,52,78,49.46098545,44.5545,12.19442695,72.64,28.0855,28.0855,1593.044726,1508.09,165.3961355,1811,302.91,1687,10.33809603,7,2.350520045,14,7,14,3.714756725,1,0.407759098,4,3,3,124.6413403,28,8.406464708,139,111,111,1.79771709,0.46,0.139911529,2.01,1.55,1.9,2,0,0,2,2,2,0.620300756,2,0.826327691,2,0,2,4.865362527,10,2.775623883,10,0,0,0,0,0,0,0,0,7.485663283,10,2.26282844,14,4,4,0,0,0,0,0,0,1.383278072,5,1.842720592,5,0,4,2.282204723,5,1.683726104,5,0,0,0,0,0,0,0,0,3.665482795,3,1.073503861,5,2,4,13.66764651,12.76,4.378242562,23.005,10.245,20.44,0.220924951,0.773,0.315316926,0.773,0,0.773,0.325832198,2.1106628,0.401466239,2.1106628,0,0,212.5875427,165,17.8198032,229,64,227,0.267177393,0.082865169,0.649957438,0,0,0.051525145,0.012120839,409.470717,201
6,0.503699302,0.411357152,0.353535086,0.331921487,0.316666712,23.1791751,17,5.25635196,31,14,14,63.61518243,26,9.196924642,78,52,78,49.39871212,41.6375,12.20477255,69.723,28.0855,28.0855,1595.662783,1508.09,162.705765,1811,302.91,1687,10.33292444,7,2.346363662,14,7,14,3.713680592,1,0.408681209,4,3,3,124.6337854,28,8.408833236,139,111,111,1.797791152,0.36,0.139785902,1.91,1.55,1.9,2,0,4.44E-16,2,2,2,0.61884183,2,0.826126091,2,0,2,4.850888536,10,2.777807066,10,0,0,0,0,0,0,0,0,7.469730366,9,2.251890292,13,4,4,0,0,0,0,0,0,1.376292702,5,1.837289038,5,0,4,2.285917385,5,1.681840472,5,0,0,0,0,0,0,0,0,3.662210087,3,1.073060854,5,2,4,13.65252101,10.195,4.367745362,20.44,10.245,20.44,0.221324902,0.773,0.315910575,0.773,0,0.773,0.32864839,2.1106628,0.403790695,2.1106628,0,0,212.7589822,165,17.52985712,229,64,227,0.267747282,0.082846609,0.64940611,0,0,0.031880743,0.012096606,409.994235,202
5,0.504859357,0.412423731,0.35451072,0.332841145,0.31753844,23.18001143,17,5.262688788,31,14,14,63.64014708,26,9.208294839,78,52,78,49.40086072,41.6375,12.2196046,69.723,28.0855,28.0855,1593.952394,1465.09,164.0610753,1768,302.91,1687,10.33950382,7,2.349154355,14,7,14,3.713361534,1,0.408953712,4,3,3,124.6228758,28,8.410339681,139,111,111,1.797572082,0.36,0.14010558,1.91,1.55,1.9,2,0,0,2,2,2,0.620387756,2,0.826667566,2,0,2,4.852731401,10,2.78195897,10,0,0,0,0,0,0,0,0,7.473119157,9,2.2588059,13,4,4,0,0,0,0,0,0,1.382107983,5,1.841660851,5,0,4,2.280883938,5,1.681908943,5,0,0,0,0,0,0,0,0,3.662991921,3,1.075811445,5,2,4,13.66294711,10.195,4.37456742,20.44,10.245,20.44,0.221571534,0.773,0.316121219,0.773,0,0.773,0.323133399,1.5484712,0.398382696,1.5484712,0,0,212.6401054,163,17.71468366,227,64,227,0.267625868,0.083015906,0.649358226,0,0,0.031880743,0.012127093,409.371017,203
6,0.505008523,0.412579059,0.354643681,0.332964596,0.317655371,23.17494776,18,5.261530991,32,14,14,63.62887036,27,9.209643812,79,52,78,49.38997274,44.5545,12.2174149,72.64,28.0855,28.0855,1594.916291,1465.09,162.7541035,1768,302.91,1687,10.33615196,7,2.349625712,14,7,14,3.713266433,1,0.409034857,4,3,3,124.6329449,28,8.42297302,139,111,111,1.797436336,0.46,0.14036688,2.01,1.55,1.9,2,0,0,2,2,2,0.620306733,2,0.827157582,2,0,2,4.848509563,10,2.780460879,10,0,0,0,0,0,0,0,0,7.468816296,10,2.25520451,14,4,4,0,0,0,0,0,0,1.379296991,5,1.839244848,5,0,4,2.284154772,5,1.683486247,5,0,0,0,0,0,0,0,0,3.663451762,3,1.074980259,5,2,4,13.66034637,12.76,4.374131594,23.005,10.245,20.44,0.221762199,0.773,0.3162154,0.773,0,0.773,0.32325881,1.5484712,0.398667066,1.5484712,0,0,212.7690202,163,17.49941509,227,64,227,0.26778005,0.083052884,0.649167066,0,0,0.051525145,0.012152778,409.476322,204
5,0.505169387,0.412735144,0.354791552,0.333103458,0.317785059,23.17797513,17,5.260424829,31,14,14,63.62829309,26,9.202975585,78,52,78,49.39484962,41.6375,12.21361251,69.723,28.0855,28.0855,1594.646666,1465.09,163.1531573,1768,302.91,1687,10.33639219,7,2.347836506,14,7,14,3.713421275,1,0.408902719,4,3,3,124.6312134,28,8.416471497,139,111,111,1.79747089,0.36,0.140270265,1.91,1.55,1.9,2,0,0,2,2,2,0.619713177,2,0.826530735,2,0,2,4.850891755,10,2.780324753,10,0,0,0,0,0,0,0,0,7.470604931,9,2.25594911,13,4,4,0,0,0,0,0,0,1.379093531,5,1.839339928,5,0,4,2.283320991,5,1.682283583,5,0,0,0,0,0,0,0,0,3.662414522,3,1.076197954,5,2,4,13.65768889,10.195,4.371494111,20.44,10.245,20.44,0.221525355,0.773,0.316081802,0.773,0,0.773,0.323101142,1.5484712,0.398235104,1.5484712,0,0,212.7300454,163,17.57077009,227,64,227,0.267715937,0.082953547,0.649330516,0,0,0.031880743,0.01214164,409.95076,205
6,0.503531508,0.411246742,0.353455554,0.331847511,0.316594096,23.18177461,17,5.254294968,31,14,14,63.6126534,26,9.198576793,78,52,78,49.40559918,41.6375,12.20048353,69.723,28.0855,28.0855,1595.261568,1508.09,163.1610522,1811,302.91,1687,10.33204857,7,2.346949087,14,7,14,3.713873669,1,0.408516108,4,3,3,124.6409183,28,8.413505366,139,111,111,1.797676679,0.36,0.139822596,1.91,1.55,1.9,2,0,0,2,2,2,0.618721671,2,0.825875453,2,0,2,4.852063586,10,2.776606307,10,0,0,0,0,0,0,0,0,7.470785257,9,2.2519417,13,4,4,0,0,0,0,0,0,1.376850368,5,1.837832704,5,0,4,2.2866731,5,1.682996086,5,0,0,0,0,0,0,0,0,3.663523468,3,1.072823189,5,2,4,13.6530623,10.195,4.36753329,20.44,10.245,20.44,0.221175654,0.773,0.315782951,0.773,0,0.773,0.328610285,2.1106628,0.403926017,2.1106628,0,0,212.7301445,165,17.58298013,229,64,227,0.267709475,0.082818827,0.649471698,0,0,0.031880743,0.012099329,410.632762,206
6,0.50495996,0.412498428,0.354548229,0.332866646,0.317553334,23.18616346,18,5.251964441,32,14,14,63.60998465,27,9.191171549,79,52,78,49.41407022,44.5545,12.19408874,72.64,28.0855,28.0855,1595.374306,1465.09,162.3572428,1768,302.91,1687,10.33169349,7,2.344680375,14,7,14,3.71413722,1,0.408290502,4,3,3,124.6439983,28,8.412295364,139,111,111,1.797498145,0.46,0.140341226,2.01,1.55,1.9,2,0,0,2,2,2,0.618265342,2,0.825856419,2,0,2,4.854800355,10,2.775613448,10,0,0,0,0,0,0,0,0,7.473065697,10,2.253887368,14,4,4,0,0,0,0,0,0,1.374443469,5,1.835931734,5,0,4,2.286571849,5,1.681661677,5,0,0,0,0,0,0,0,0,3.661015318,3,1.076364993,5,2,4,13.64901142,12.76,4.366782045,23.005,10.245,20.44,0.221080864,0.773,0.315638385,0.773,0,0.773,0.324479919,1.5484712,0.399348414,1.5484712,0,0,212.7945335,163,17.44870671,227,64,227,0.267627782,0.082732491,0.649639726,0,0,0.051525145,0.012150583,409.716452,207
6,0.505023882,0.412620951,0.354697571,0.333016103,0.317702257,23.17667418,17,5.259211948,31,14,14,63.62331834,26,9.207789576,78,52,78,49.39403157,41.6375,12.2120587,69.723,28.0855,28.0855,1594.399115,1508.09,163.3478933,1811,302.91,1687,10.334633,7,2.349395149,14,7,14,3.713446732,1,0.408880985,4,3,3,124.6411352,28,8.427652159,139,111,111,1.797251845,0.36,0.140409664,1.91,1.55,1.9,2,0,2.22E-16,2,2,2,0.619769784,2,0.826504511,2,0,2,4.84933054,10,2.779183025,10,0,0,0,0,0,0,0,0,7.469100325,9,2.254557305,13,4,4,0,0,0,0,0,0,1.379529316,5,1.839694725,5,0,4,2.285136782,5,1.684481737,5,0,0,0,0,0,0,0,0,3.664666098,3,1.075290993,5,2,4,13.65855688,10.195,4.371688523,20.44,10.245,20.44,0.221505676,0.773,0.316065001,0.773,0,0.773,0.322995696,2.1106628,0.39850206,2.1106628,0,0,212.7139227,165,17.59266777,229,64,227,0.267769867,0.082977836,0.649252297,0,0,0.031880743,0.012152686,409.887846,208
5,0.504926063,0.412455003,0.35451663,0.332842118,0.317536484,23.17947314,17,5.259213856,31,14,14,63.6259722,26,9.200430766,78,52,78,49.3989743,41.6375,12.21117135,69.723,28.0855,28.0855,1594.791561,1465.09,163.104367,1768,302.91,1687,10.33586109,7,2.347145856,14,7,14,3.713534003,1,0.40880646,4,3,3,124.6303891,28,8.411772506,139,111,111,1.797545984,0.36,0.140187068,1.91,1.55,1.9,2,0,0,2,2,2,0.619446732,2,0.826365808,2,0,2,4.851754383,10,2.779725318,10,0,0,0,0,0,0,0,0,7.471201115,9,2.255606753,13,4,4,0,0,0,0,0,0,1.378437674,5,1.83888897,5,0,4,2.283585642,5,1.681731537,5,0,0,0,0,0,0,0,0,3.662023316,3,1.075814722,5,2,4,13.65610162,10.195,4.370595786,20.44,10.245,20.44,0.221438216,0.773,0.316007393,0.773,0,0.773,0.324029344,1.5484712,0.399115577,1.5484712,0,0,212.716154,163,17.58144838,227,64,227,0.267694574,0.082911265,0.649394161,0,0,0.031880743,0.01213388,408.611596,209
